Row : 1, Col : 1, Slice : 1
PPMScale,Data,Fit,Baseline,Ala,Asp,Cr,-CrCH2,GABA,Glc,Gln,Glu,GPC,Gua,Ins,Lac,Lip09,Lip13a,Lip13b,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,Scyllo,Tau
24.0936,16864.3,8091.33,11084.4,156.04,413.514,1.42995,-0.493813,558.713,899.073,1363.76,1096.02,1316.14,0.185125,800.666,0,1.60867e-11,0,0,0,0,1.25624e-11,0,0.0156844,315.016,1115.37,3.64801,50.0279,2.13725,0.0643331,0
24.0888,71679.9,8091.31,11101.4,156.04,413.514,1.42985,-0.493795,558.713,899.073,1363.76,1096.02,1316.13,0.185117,800.664,0,1.65414e-11,0,0,0,0,1.29816e-11,0,0.0156815,315.016,1115.37,3.64744,50.0269,2.1371,0.0643285,0
24.084,-42221.5,8091.28,11118.3,156.04,413.514,1.42975,-0.493778,558.713,899.073,1363.76,1096.02,1316.12,0.185108,800.662,0,1.36424e-11,0,0,0,0,1.0246e-11,0,0.0156786,315.016,1115.36,3.64688,50.0259,2.13695,0.0643239,0
24.0792,-24328.4,8091.26,11135.3,156.04,413.514,1.42965,-0.493761,558.713,899.073,1363.76,1096.02,1316.11,0.1851,800.659,0,1.61009e-11,0,0,0,0,1.08145e-11,0,0.0156757,315.016,1115.35,3.64632,50.0248,2.1368,0.0643193,0
24.0745,4824.69,8091.24,11152.3,156.04,413.514,1.42955,-0.493743,558.713,899.072,1363.76,1096.02,1316.1,0.185091,800.657,0,1.76925e-11,0,0,0,0,9.13758e-12,0,0.0156729,315.016,1115.34,3.64576,50.0238,2.13666,0.0643147,0
24.0697,138210,8091.22,11169.2,156.04,413.514,1.42945,-0.493727,558.713,899.072,1363.76,1096.02,1316.09,0.185083,800.655,0,1.62004e-11,0,0,0,0,9.2939e-12,0,0.01567,315.016,1115.34,3.6452,50.0228,2.13651,0.0643102,0
24.0649,150641,8091.2,11186.2,156.04,413.514,1.42935,-0.49371,558.713,899.072,1363.76,1096.02,1316.09,0.185075,800.652,0,1.39977e-11,0,0,0,0,7.27596e-12,0,0.0156672,315.016,1115.33,3.64464,50.0217,2.13637,0.0643057,0
24.0601,-28250.1,8091.18,11203.2,156.04,413.514,1.42925,-0.493693,558.713,899.071,1363.76,1096.02,1316.08,0.185066,800.65,0,1.4964e-11,0,0,0,0,6.05382e-12,0,0.0156643,315.016,1115.32,3.64408,50.0207,2.13622,0.0643012,0
24.0553,71.1706,8091.16,11220.1,156.04,413.514,1.42915,-0.493677,558.713,899.071,1363.76,1096.02,1316.07,0.185058,800.648,0,1.51346e-11,0,0,0,0,6.76437e-12,0,0.0156615,315.016,1115.31,3.64352,50.0197,2.13608,0.0642967,0
24.0506,88169.2,8091.14,11237.1,156.04,413.514,1.42906,-0.49366,558.713,899.071,1363.76,1096.02,1316.06,0.18505,800.645,0,1.36566e-11,0,0,0,0,3.45324e-12,0,0.0156586,315.015,1115.3,3.64297,50.0187,2.13594,0.0642922,0
24.0458,-145975,8091.12,11254,156.04,413.514,1.42896,-0.493644,558.713,899.07,1363.76,1096.03,1316.05,0.185042,800.643,0,1.30029e-11,0,0,0,0,3.25429e-12,0,0.0156558,315.015,1115.3,3.64241,50.0176,2.13579,0.0642878,0
24.041,-38546.4,8091.1,11271,156.04,413.514,1.42886,-0.493628,558.713,899.07,1363.76,1096.03,1316.04,0.185034,800.641,0,1.1255e-11,0,0,0,0,3.29692e-12,0,0.015653,315.015,1115.29,3.64186,50.0166,2.13565,0.0642833,0
24.0362,69865.1,8091.08,11288,156.04,413.514,1.42877,-0.493612,558.713,899.07,1363.76,1096.03,1316.04,0.185026,800.638,0,9.67759e-12,0,0,0,0,2.41585e-12,0,0.0156501,315.015,1115.28,3.64131,50.0156,2.13551,0.0642789,0
24.0314,18923.5,8091.06,11304.9,156.04,413.514,1.42867,-0.493596,558.713,899.069,1363.76,1096.03,1316.03,0.185018,800.636,0,9.06653e-12,0,0,0,0,-5.68434e-13,0,0.0156473,315.015,1115.27,3.64076,50.0146,2.13537,0.0642746,0
24.0267,208206,8091.04,11321.9,156.04,413.514,1.42857,-0.493581,558.713,899.069,1363.76,1096.03,1316.02,0.18501,800.634,0,6.99174e-12,0,0,0,0,-1.42109e-14,0,0.0156445,315.015,1115.26,3.64021,50.0135,2.13523,0.0642702,0
24.0219,7932.85,8091.02,11338.9,156.04,413.514,1.42848,-0.493565,558.713,899.069,1363.76,1096.03,1316.01,0.185003,800.631,0,4.5759e-12,0,0,0,0,-1.49214e-12,0,0.0156417,315.015,1115.26,3.63966,50.0125,2.13509,0.0642658,0
24.0171,25940.3,8091,11355.8,156.04,413.514,1.42838,-0.49355,558.713,899.068,1363.76,1096.03,1316,0.184995,800.629,0,3.76588e-12,0,0,0,0,-1.7053e-12,0,0.0156389,315.015,1115.25,3.63911,50.0115,2.13495,0.0642615,0
24.0123,-146157,8090.98,11372.8,156.04,413.514,1.42829,-0.493535,558.713,899.068,1363.76,1096.03,1316,0.184987,800.627,0,-9.9476e-14,0,0,0,0,-2.07478e-12,0,0.0156361,315.015,1115.24,3.63857,50.0104,2.13482,0.0642572,0
24.0075,158131,8090.96,11389.8,156.04,413.514,1.42819,-0.49352,558.713,899.068,1363.76,1096.03,1315.99,0.18498,800.624,0,-2.82796e-12,0,0,0,0,-1.8332e-12,0,0.0156333,315.015,1115.23,3.63802,50.0094,2.13468,0.0642529,0
24.0028,-13537.9,8090.94,11462.8,156.04,413.514,1.4281,-0.493505,558.713,899.067,1363.76,1096.03,1315.98,0.184972,800.622,0,-5.86908e-12,0,0,0,0,-4.3201e-12,0,0.0156305,315.015,1115.23,3.63748,50.0084,2.13454,0.0642486,0
23.998,9513.11,8090.92,11504.2,156.04,413.514,1.42801,-0.49349,558.713,899.067,1363.76,1096.03,1315.97,0.184965,800.62,0,-6.97753e-12,0,0,0,0,-3.02691e-12,0,0.0156278,315.015,1115.22,3.63694,50.0074,2.13441,0.0642444,0
