Row : 1, Col : 1, Slice : 1
PPMScale,Data,Fit,Baseline,Ala,Asp,Cr,-CrCH2,GABA,Glc,Gln,Glu,GPC,Gua,Ins,Lac,Lip09,Lip13a,Lip13b,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,Scyllo,Tau
24.1068,27859.8,24475,-109162,0,1376.28,9.40534,-0.116868,278.677,2902.71,374.908,9862.75,2186.18,1.66569,3246.15,261.572,1.47591,-5.75824e-11,0,0,0.142056,-2.30216e-11,4.44976,4.4532,2264.46,1696.65,1.64831,0,1.27096,0.270144,0
24.102,-388190,24474.4,-108371,0,1376.21,9.40467,-0.116864,278.652,2902.68,374.9,9862.51,2186.14,1.66561,3246.09,261.57,1.47557,-7.38964e-11,0,0,0.142023,-1.8801e-11,4.44892,4.4524,2264.46,1696.52,1.64806,0,1.27087,0.270124,0
24.0972,-43429.4,24473.8,-107580,0,1376.15,9.40401,-0.116859,278.628,2902.65,374.891,9862.28,2186.1,1.66553,3246.02,261.569,1.47523,-8.60041e-11,0,0,0.141991,-2.07194e-11,4.44809,4.45161,2264.46,1696.38,1.6478,0,1.27078,0.270104,0
24.0924,-299113,24473.2,-106790,0,1376.08,9.40335,-0.116855,278.603,2902.62,374.883,9862.05,2186.07,1.66545,3245.96,261.568,1.47489,-9.8396e-11,0,0,0.141959,-1.59162e-11,4.44725,4.45081,2264.46,1696.24,1.64755,0,1.27069,0.270084,0
24.0876,3442.6,24472.6,-105999,0,1376.02,9.40269,-0.116851,278.579,2902.59,374.875,9861.82,2186.03,1.66537,3245.89,261.567,1.47455,-1.12664e-10,0,0,0.141926,-1.62288e-11,4.44642,4.45002,2264.46,1696.11,1.64729,0,1.2706,0.270065,0
24.0829,-209638,24472,-105208,0,1375.96,9.40204,-0.116847,278.554,2902.56,374.866,9861.59,2186,1.66529,3245.83,261.565,1.47421,-1.18177e-10,0,0,0.141894,-1.47651e-11,4.44559,4.44923,2264.46,1695.97,1.64704,0,1.27051,0.270045,0
24.0781,-117879,24471.4,-104417,0,1375.89,9.40138,-0.116843,278.529,2902.53,374.858,9861.35,2185.96,1.66521,3245.77,261.564,1.47387,-1.22611e-10,0,0,0.141862,-1.27045e-11,4.44476,4.44844,2264.46,1695.84,1.64679,0,1.27043,0.270026,0
24.0733,-292697,24470.8,-103626,0,1375.83,9.40074,-0.116839,278.505,2902.5,374.85,9861.12,2185.92,1.66514,3245.7,261.563,1.47353,-1.32843e-10,0,0,0.14183,-6.76437e-12,4.44393,4.44765,2264.46,1695.7,1.64654,0,1.27034,0.270006,0
24.0685,-139506,24470.2,-102835,0,1375.76,9.40009,-0.116835,278.48,2902.47,374.841,9860.89,2185.89,1.66506,3245.64,261.561,1.47319,-1.41085e-10,0,0,0.141798,-6.62226e-12,4.4431,4.44686,2264.46,1695.56,1.64628,0,1.27025,0.269987,0
24.0637,-131978,24469.6,-102044,0,1375.7,9.39944,-0.11683,278.456,2902.44,374.833,9860.66,2185.85,1.66498,3245.57,261.56,1.47286,-1.42109e-10,0,0,0.141766,-3.09797e-12,4.44228,4.44608,2264.46,1695.43,1.64603,0,1.27017,0.269968,0
24.059,117203,24469,-101253,0,1375.63,9.3988,-0.116827,278.431,2902.41,374.824,9860.42,2185.82,1.66491,3245.51,261.559,1.47252,-1.51374e-10,0,0,0.141734,-6.82121e-13,4.44145,4.44529,2264.46,1695.29,1.64578,0,1.27008,0.269949,0
24.0542,-270872,24468.4,-100462,0,1375.57,9.39817,-0.116823,278.406,2902.38,374.816,9860.19,2185.78,1.66483,3245.45,261.557,1.47218,-1.57115e-10,0,0,0.141702,1.7053e-12,4.44063,4.44451,2264.46,1695.16,1.64553,0,1.27,0.26993,0
24.0494,26205.5,24467.8,-99671.6,0,1375.5,9.39753,-0.116819,278.382,2902.35,374.808,9859.96,2185.74,1.66476,3245.38,261.556,1.47185,-1.70417e-10,0,0,0.14167,2.04636e-12,4.43981,4.44373,2264.46,1695.02,1.64528,0,1.26991,0.269911,0
24.0446,-112604,24467.2,-98880.7,0,1375.44,9.3969,-0.116815,278.357,2902.32,374.799,9859.73,2185.71,1.66469,3245.32,261.555,1.47151,-1.55296e-10,0,0,0.141638,5.00222e-12,4.43899,4.44295,2264.46,1694.89,1.64504,0,1.26983,0.269892,0
24.0399,58418.9,24466.6,-98089.8,0,1375.38,9.39627,-0.116811,278.333,2902.29,374.791,9859.5,2185.67,1.66461,3245.25,261.553,1.47118,-1.57854e-10,0,0,0.141606,4.88853e-12,4.43817,4.44217,2264.46,1694.75,1.64479,0,1.26974,0.269873,0
24.0351,-61722.6,24466,-97298.9,0,1375.31,9.39564,-0.116807,278.308,2902.26,374.783,9859.27,2185.63,1.66454,3245.19,261.552,1.47084,-1.56547e-10,0,0,0.141575,4.34852e-12,4.43736,4.44139,2264.46,1694.61,1.64454,0,1.26966,0.269855,0
24.0303,47486,24465.4,-96508,0,1375.25,9.39502,-0.116803,278.284,2902.23,374.774,9859.03,2185.6,1.66447,3245.13,261.551,1.47051,-1.54046e-10,0,0,0.141543,8.3844e-12,4.43654,4.44062,2264.46,1694.48,1.64429,0,1.26957,0.269836,0
24.0255,-116019,24464.8,-95717.1,0,1375.18,9.3944,-0.116799,278.259,2902.2,374.766,9858.8,2185.56,1.66439,3245.06,261.55,1.47018,-1.58138e-10,0,0,0.141511,1.09139e-11,4.43573,4.43985,2264.46,1694.34,1.64405,0,1.26949,0.269818,0
24.0207,-29471.8,24464.2,-94926.2,0,1375.12,9.39378,-0.116796,278.234,2902.17,374.757,9858.57,2185.53,1.66432,3245,261.548,1.46985,-1.41085e-10,0,0,0.14148,1.09708e-11,4.43492,4.43907,2264.46,1694.21,1.6438,0,1.26941,0.269799,0
24.016,-17662.2,24463.6,-94011.7,0,1375.05,9.39316,-0.116792,278.21,2902.14,374.749,9858.34,2185.49,1.66425,3244.94,261.547,1.46951,-1.4245e-10,0,0,0.141448,1.20508e-11,4.43411,4.4383,2264.46,1694.07,1.64355,0,1.26933,0.269781,0
24.0112,5884.87,24463,-93084,0,1374.99,9.39255,-0.116788,278.185,2902.11,374.741,9858.11,2185.45,1.66418,3244.87,261.546,1.46918,-1.36595e-10,0,0,0.141417,1.45519e-11,4.4333,4.43753,2264.46,1693.94,1.64331,0,1.26924,0.269762,0
24.0064,19368.9,24462.4,-92196.8,0,1374.93,9.39194,-0.116785,278.161,2902.08,374.732,9857.88,2185.42,1.66411,3244.81,261.544,1.46885,-1.32673e-10,0,0,0.141386,1.55467e-11,4.43249,4.43677,2264.46,1693.8,1.64307,0,1.26916,0.269744,0
24.0016,18019.6,24461.8,-91323.8,0,1374.86,9.39133,-0.116781,278.136,2902.05,374.724,9857.64,2185.38,1.66404,3244.74,261.543,1.46852,-1.14198e-10,0,0,0.141354,1.83888e-11,4.43169,4.436,2264.46,1693.67,1.64282,0,1.26908,0.269726,0
23.9968,-128895,24461.2,-90610.8,0,1374.8,9.39073,-0.116778,278.112,2902.02,374.716,9857.41,2185.34,1.66397,3244.68,261.542,1.46819,-1.0715e-10,0,0,0.141323,2.1231e-11,4.43088,4.43524,2264.46,1693.53,1.64258,0,1.269,0.269708,0
23.9921,-74028.7,24460.6,-89856.9,0,1374.73,9.39013,-0.116774,278.087,2901.99,374.707,9857.18,2185.31,1.6639,3244.62,261.54,1.46786,-9.80549e-11,0,0,0.141292,2.14015e-11,4.43008,4.43447,2264.46,1693.39,1.64233,0,1.26892,0.26969,0
23.9873,-123533,24460,-89163.4,0,1374.67,9.38953,-0.116771,278.063,2901.96,374.699,9856.95,2185.27,1.66384,3244.55,261.539,1.46753,-9.74296e-11,0,0,0.14126,1.95541e-11,4.42928,4.43371,2264.46,1693.26,1.64209,0,1.26884,0.269672,0
23.9825,67976.9,24459.4,-88365.4,0,1374.6,9.38893,-0.116767,278.038,2901.93,374.691,9856.72,2185.24,1.66377,3244.49,261.538,1.46721,-8.4583e-11,0,0,0.141229,2.50395e-11,4.42848,4.43295,2264.46,1693.12,1.64185,0,1.26876,0.269654,0
23.9777,-145329,24458.8,-87659.1,0,1374.54,9.38834,-0.116764,278.014,2901.9,374.682,9856.49,2185.2,1.6637,3244.43,261.536,1.46688,-7.40101e-11,0,0,0.141198,2.47553e-11,4.42768,4.43219,2264.46,1692.99,1.64161,0,1.26868,0.269637,0
23.9729,-45676.9,24458.2,-87017.3,0,1374.48,9.38775,-0.11676,277.989,2901.87,374.674,9856.26,2185.16,1.66363,3244.36,261.535,1.46655,-6.0993e-11,0,0,0.141167,2.81659e-11,4.42689,4.43144,2264.46,1692.85,1.64137,0,1.2686,0.269619,0
23.9682,-93362.6,24457.6,-86358.4,0,1374.41,9.38716,-0.116757,277.965,2901.84,374.666,9856.03,2185.13,1.66357,3244.3,261.534,1.46622,-6.01403e-11,0,0,0.141136,2.86491e-11,4.42609,4.43068,2264.46,1692.72,1.64113,0,1.26852,0.269602,0
23.9634,-117701,24457,-85723.4,0,1374.35,9.38658,-0.116754,277.94,2901.82,374.657,9855.8,2185.09,1.6635,3244.23,261.533,1.4659,-4.3201e-11,0,0,0.141105,2.9786e-11,4.4253,4.42993,2264.46,1692.58,1.64089,0,1.26844,0.269584,0
23.9586,161315,24456.4,-85096.5,0,1374.28,9.386,-0.116751,277.916,2901.79,374.649,9855.56,2185.06,1.66344,3244.17,261.531,1.46557,-2.84786e-11,0,0,0.141074,3.06102e-11,4.42451,4.42917,2264.46,1692.45,1.64065,0,1.26837,0.269567,0
